Codes;Kurztitel 2008 (max. 40 Zeichen inkl. Leerstellen)
2365;H.v. Faserzementwaren
236500;H.v. Faserzementwaren
2369;H.v. sonst. Erz. aus Beton usw.
236900;H.v. sonst. Erz. aus Beton usw.
237;Be- u. Verarb. v. Naturwerksteinen
2370;Be- u. Verarb. v. Naturwerksteinen
237000;Be- u. Verarb. v. Naturwerksteinen
239;H.v. Schleifkörpern u. Schleifm.
2391;H.v. Schleifkörpern u. Schleifm.
239100;H.v. Schleifkörpern u. Schleifm.
2399;H.v. sonst. Erz. aus NM-Mineralien a.n.g
239901;H.v. Prod. aus Asphalt
239902;H.v. sonst. Erz. aus NM Mineralien
24;Metallerz. u. -bearb.
241;Erz. v. Roheisen, Stahl u. Ferroleg.
2410;Erz. v. Roheisen, Stahl u. Ferroleg.
241000;Erz. v. Roheisen, Stahl u. Ferroleg.
242;H.v. Stahlrohren usw.
2420;H.v. Stahlrohren usw.
242000;H.v. Stahlrohren usw.
243;Sonst. erste Bearb. v. Eisen u. Stahl
2431;H.v. Blankstahl
243100;H.v. Blankstahl
2432;H.v. Kaltband
243200;H.v. Kaltband
2433;H.v. Kaltprofilen
243300;H.v. Kaltprofilen
2434;H.v. kaltgezogenem Draht
243400;H.v. kaltgezogenem Draht
244;Erz. u. erste Bearb. v. NE-Met.
2441;Erz. u. erste Bearb. v. Edelmet.
244100;Erz. u. erste Bearb. v. Edelmet.
2442;Erz. u. erste Bearb. v. Aluminium
244200;Erz. u. erste Bearb. v. Aluminium
2443;Erz. u. erste Bearb. v. Blei, Zink, Zinn
244300;Erz. u. erste Bearb. v. Blei, Zink, Zinn
2444;Erz. u. erste Bearb. v. Kupfer
244400;Erz. u. erste Bearb. v. Kupfer
2445;Erz. u. erste Bearb. v. sonst. NE-Met.
244500;Erz. u. erste Bearb. v. sonst. NE-Met.
2446;Aufb. v. Kernbrennst.
244600;Aufb. v. Kernbrennst.
245;Giessereien
2451;Eisengiessereien
245100;Eisengiessereien
2452;Stahlgiessereien
245200;Stahlgiessereien
2453;Leichtmetallgiessereien
245300;Leichtmetallgiessereien
2454;Buntmetallgiessereien
245400;Buntmetallgiessereien
25;H.v. Metallerz.
251;H.v. Stahl- u. Leichtmetallbau
2511;H.v. Metallkonstr.
251100;H.v. Metallkonstr.
2512;H.v. Ausbauelem. aus Met.
251200;H.v. Ausbauelem. aus Met.
252;H.v. Metalltanks u. -behältern usw.
2521;H.v. Heizkörpern u. -kesseln
252100;H.v. Heizkörpern u. -kesseln
2529;H.v. Sammelbehältern aus Met.
252900;H.v. Sammelbehältern aus Met.
253;H.v. Dampfkesseln
2530;H.v. Dampfkesseln
253000;H.v. Dampfkesseln
254;H.v. Waffen u. Munition
2540;H.v. Waffen u. Munition
254000;H.v. Waffen u. Munition
255;H.v. Schmiede-, Press-, Zieht. usw.
2550;H.v. Schmiede-, Press-, Zieht. usw.
255000;H.v. Schmiede-, Press-, Zieht. usw.
256;Oberflächenveredlung u. Wärmebeh.
2561;Oberflächenveredlung u. Wärmebeh.
256100;Oberflächenveredlung u. Wärmebeh.
2562;Mechanik a. n. g.
256201;Mech. Werkstätte
256202;Schlossereien
256203;Schmieden
257;H.v. Schneidewa., Werkzeugen. usw.
2571;H.v. Schneidewa. u. Bestecken
257100;H.v. Schneidewa. u. Bestecken
2572;H.v. Schlössern u. Beschlägen
257200;H.v. Schlössern u. Beschlägen
2573;H.v. Werkzeugen
257300;H.v. Werkzeugen
259;H.v. sonst. Metallwaren
2591;H.v. Fässern u. ä. Behälter aus Met.
259100;H.v. Fässern u. ä. Behälter aus Met.
2592;H.v. Verpackungen u. Verschlüssen
259200;H.v. Verpackungen aus Leichtmet.
2593;H.v. Drahtwa., Ketten u. Federn
259300;H.v. Drahtwa., Ketten u. Federn
2594;H.v. Schrauben u. Nieten
259400;H.v. Schrauben u. Nieten
2599;H.v. sonst. Metallwaren a.n.g.
259900;H.v. sonst. Metallwaren a.n.g.
26;H.v. Ge. f. die Datenverarb.
261;H.v. elektron. Bauelem. u. Leiterplatten
2611;H.v. elektron. Bauelem.
261100;H.v. elektron. Bauelem.
2612;H.v. bestückten Leiterplatten
261200;H.v. bestückten Leiterplatten
262;H.v. Datenverarb.- u. peripheren Ge.
